KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2000-04-25,7.6993,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Chinese yuan renminbi/Euro,"ECB reference exchange rate, Chinese yuan renminbi/Euro, 2.15 pm (C.E.T.)",CNY,0
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2000-04-26,7.609,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Chinese yuan renminbi/Euro,"ECB reference exchange rate, Chinese yuan renminbi/Euro, 2.15 pm (C.E.T.)",CNY,0
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2000-04-27,7.5842,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Chinese yuan renminbi/Euro,"ECB reference exchange rate, Chinese yuan renminbi/Euro, 2.15 pm (C.E.T.)",CNY,0
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2000-04-28,7.5197,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Chinese yuan renminbi/Euro,"ECB reference exchange rate, Chinese yuan renminbi/Euro, 2.15 pm (C.E.T.)",CNY,0
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2000-05-01,,H,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Chinese yuan renminbi/Euro,"ECB reference exchange rate, Chinese yuan renminbi/Euro, 2.15 pm (C.E.T.)",CNY,0
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2000-05-02,7.5453,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Chinese yuan renminbi/Euro,"ECB reference exchange rate, Chinese yuan renminbi/Euro, 2.15 pm (C.E.T.)",CNY,0
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2000-05-03,7.3773,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Chinese yuan renminbi/Euro,"ECB reference exchange rate, Chinese yuan renminbi/Euro, 2.15 pm (C.E.T.)",CNY,0
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2000-05-04,7.4054,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Chinese yuan renminbi/Euro,"ECB reference exchange rate, Chinese yuan renminbi/Euro, 2.15 pm (C.E.T.)",CNY,0
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2000-05-05,7.4361,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Chinese yuan renminbi/Euro,"ECB reference exchange rate, Chinese yuan renminbi/Euro, 2.15 pm (C.E.T.)",CNY,0
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2000-05-08,7.4096,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Chinese yuan renminbi/Euro,"ECB reference exchange rate, Chinese yuan renminbi/Euro, 2.15 pm (C.E.T.)",CNY,0
